scenario,step,mean_cooperation,balanced_fraction,n_blocs,modularity,polarization,conflicts,total_power
rivalrous,8,-0.05991573400157152,0.7362637362637363,3,0.5491605855278459,0.03296703296703297,0,28.009122856102223
rivalrous,9,-0.06437346554209494,0.7307692307692307,3,0.550832040378573,0.054945054945054944,1,28.304575992100943
rivalrous,10,-0.06762401387698896,0.7307692307692307,3,0.553739408054437,0.054945054945054944,1,28.487859210815017
rivalrous,11,-0.06762196307686878,0.7417582417582418,3,0.5555793740534621,0.04395604395604396,0,29.00514176343534
rivalrous,12,-0.06635023512145842,0.7417582417582418,3,0.5400039783537094,0.04395604395604396,0,29.533519826827828
rivalrous,13,-0.0667555497587567,0.7417582417582418,3,0.5427765037333995,0.04395604395604396,1,29.87812439790857
rivalrous,14,-0.06436804353115524,0.7417582417582418,3,0.5452437307605673,0.04395604395604396,0,30.42616967130952
rivalrous,15,-0.06166435160787917,0.7417582417582418,3,0.5468624264881591,0.04395604395604396,0,30.985960268670564
rivalrous,16,-0.058325634777373236,0.7417582417582418,3,0.5562148620091233,0.04395604395604396,0,31.557802190502702
rivalrous,17,-0.055201071491067684,0.7472527472527473,3,0.5577682304547111,0.04395604395604396,0,32.14178425654118
rivalrous,18,-0.054369627637511145,0.7472527472527473,3,0.5691090837153682,0.04395604395604396,1,32.49306220156353
rivalrous,19,-0.05133688127594617,0.7472527472527473,3,0.5798332058551228,0.04395604395604396,0,33.097443914275104
rivalrous,20,-0.048527063223742194,0.7472527472527473,3,0.5699993533047035,0.03296703296703297,0,33.71424702926006
rivalrous,21,-0.04551289606064044,0.7582417582417582,3,0.5708449666042033,0.02197802197802198,0,34.343806517840505
rivalrous,22,-0.0430314085125021,0.7692307692307693,3,0.5642310378707421,0.02197802197802198,0,34.98637895028756
rivalrous,23,-0.04291275496446613,0.8021978021978022,3,0.5642220530642661,0.02197802197802198,1,35.277541685849826
rivalrous,24,-0.040149864897087974,0.8241758241758241,3,0.5630907026936134,0.01098901098901099,0,35.940267130951575
rivalrous,25,-0.037146364365467234,0.8241758241758241,3,0.5528938855758776,0.0,0,36.61700935676243
rivalrous,26,-0.03660140072305297,0.8241758241758241,3,0.5434779195433757,0.0,1,37.0260210986065
rivalrous,27,-0.03433153695309296,0.8241758241758241,3,0.5426779409103047,0.0,0,37.726028680910474
rivalrous,28,-0.03208401446773052,0.8241758241758241,3,0.5418222532752676,0.0,0,38.44081101707614
rivalrous,29,-0.029465066833678482,0.8351648351648352,3,0.5405153143689598,0.0,0,39.170915430164115
rivalrous,30,-0.026461040638779118,0.8351648351648352,3,0.5397065063894271,0.0,0,39.91688971623353
rivalrous,31,-0.023405176813087878,0.8351648351648352,3,0.539118704957507,0.0,0,40.67924198562182
rivalrous,32,-0.020936681615107453,0.8516483516483516,3,0.5293496090230483,0.0,0,41.45817072297448
